NCTId,BriefTitle,Condition,Phase,StudyType,InterventionType,InterventionName,Enrollment,StartDate,PrimaryCompletionDate,OverallStatus,LeadSponsorName,planned_enrollment,num_conditions,num_interventions,planned_duration_days,sponsor_type_industry,intervention_type,start_year,has_multiple_conditions,has_multiple_interventions,is_large_trial,label
NCT00004002,PS-341 in Treating Patients With Advanced Solid Tumors or Lymphoma,"Lymphoma; Small Intestine Cancer; Unspecified Adult Solid Tumor, Protocol Specific",PHASE1,INTERVENTIONAL,DRUG,bortezomib,,1999-07,2001-10,COMPLETED,NYU Langone Health,,3,1,823.0,0,DRUG,1999.0,1,0,0,1.0
NCT00004004,Procarbazine in Treating Patients With Recurrent Brain Tumor,Brain and Central Nervous System Tumors,PHASE1; PHASE2,INTERVENTIONAL,DRUG,procarbazine hydrochloride,,1999-07,,COMPLETED,New Approaches to Brain Tumor Therapy Consortium,,1,1,,0,DRUG,1999.0,0,0,0,1.0
NCT00005796,Combination Chemotherapy Plus Gene Therapy in Treating Patients With CNS Tumors,Bone Marrow Suppression; Brain and Central Nervous System Tumors; Drug/Agent Toxicity by Tissue/Organ,PHASE1,INTERVENTIONAL,PROCEDURE; BIOLOGICAL; DRUG; DRUG; DRUG; PROCEDURE,filgrastim; gene therapy; lomustine; procarbazine hydrochloride; vincristine sulfate; in vitro-treated peripheral blood stem cell transplantation,10,2000-02,2003-06,COMPLETED,Indiana University,10.0,3,6,1216.0,0,PROCEDURE,2000.0,1,1,0,1.0
NCT02171195,"A Single Centre, Phase I, Double-blind, Randomised, Placebo-controlled Study to Investigate the Safety, Tolerability, Pharmacokinetic Profile and Effects on EEG of Single Rising Oral Doses of BIA 2-093",Epilepsy,PHASE1,INTERVENTIONAL,DRUG; DRUG,BIA 2-093; Placebo,64,2000-07,2000-10,COMPLETED,Bial - Portela C S.A.,64.0,1,2,92.0,0,DRUG,2000.0,0,1,0,1.0
NCT02763800,"Study to Investigate the Safety, Tolerability, Steady State Pharmacokinetic and Pharmacodynamic Profile of BIA 3-202",Parkinson's Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG,BIA 3-202; Placebo,33,2000-09,2001-01,COMPLETED,Bial - Portela C S.A.,33.0,1,2,122.0,0,DRUG,2000.0,0,1,0,1.0
NCT00024570,Interstitial Infusion of IL13-PE38QQR Cytotoxin in Recurrent Malignant Glioma,Malignant Glioma; Glioblastoma Multiforme; Anaplastic Astrocytoma; Mixed Oligoastrocytoma,PHASE1; PHASE2,INTERVENTIONAL,DRUG; PROCEDURE; PROCEDURE,IL13-PE38QQR; targeted fusion protein therapy; surgery,60,2000-11,2007-07,COMPLETED,INSYS Therapeutics Inc,60.0,4,3,2433.0,1,DRUG,2000.0,1,1,0,1.0
NCT00004892,O6-Benzylguanine and Carmustine Implants in Treating Patients With Recurrent Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; DRUG; PROCEDURE,O6-benzylguanine; polifeprosan 20 with carmustine implant; conventional surgery,,2000-04,,COMPLETED,National Cancer Institute (NCI),,1,3,,0,DRUG,2000.0,0,1,0,1.0
NCT00005952,Temozolomide Plus Peripheral Stem Cell Transplantation in Treating Children With Newly Diagnosed Malignant Glioma or Recurrent CNS or Other Solid Tumors,Brain and Central Nervous System Tumors; Childhood Germ Cell Tumor; Head and Neck Cancer; Kidney Cancer; Neuroblastoma; Ovarian Cancer; Sarcoma; Testicular Germ Cell Tumor,PHASE1; PHASE2,INTERVENTIONAL,BIOLOGICAL; DRUG; PROCEDURE,filgrastim; temozolomide; peripheral blood stem cell transplantation,30,2000-08,2005-11,COMPLETED,Duke University,30.0,8,3,1918.0,0,BIOLOGICAL,2000.0,1,1,0,1.0
NCT00005855,Efaproxiral Plus Carmustine in Treating Patients With Progressive or Recurrent Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,carmustine; efaproxiral,48,2000-07,,COMPLETED,New Approaches to Brain Tumor Therapy Consortium,48.0,1,2,,0,DRUG,2000.0,0,1,0,1.0
NCT00001986,1-Octanol to Treat Essential Tremor,Essential Tremor,PHASE1,INTERVENTIONAL,DRUG,1-Octanol,12,2000-01,,COMPLETED,National Institute of Neurological Disorders and Stroke (NINDS),12.0,1,1,,0,DRUG,2000.0,0,0,0,1.0
NCT00006025,Temozolomide Plus Irinotecan in Treating Patients With Recurrent Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; DRUG,irinotecan hydrochloride; temozolomide,,2001-01-05,2005-01-10,COMPLETED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,,1,2,1466.0,0,DRUG,2001.0,0,1,0,1.0
NCT00418275,Safety Study of a Recombinant Human Plasminogen Activator to Treat Acute Ischemic Stroke.,Cerebrovascular Accident,PHASE1; PHASE2,INTERVENTIONAL,GENETIC,Recombinant Human Plasminogen Activator (HTUPA),30,2001-04,,COMPLETED,Global Biotech,30.0,1,1,,1,GENETIC,2001.0,0,0,0,1.0
NCT00016679,1-Octanol to Treat Essential Tremor,Essential Tremor,PHASE1,INTERVENTIONAL,DRUG,1-Octanol,42,2001-05,,COMPLETED,National Institute of Neurological Disorders and Stroke (NINDS),42.0,1,1,,0,DRUG,2001.0,0,0,0,1.0
NCT00022724,CCI-779 in Treating Patients With Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1; PHASE2,INTERVENTIONAL,DRUG,temsirolimus,49,2001-08-27,2006-05-04,COMPLETED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,49.0,1,1,1711.0,0,DRUG,2001.0,0,0,0,1.0
NCT00028158,"Safety and Effectiveness Study of G207, a Tumor-Killing Virus, in Patients With Recurrent Brain Cancer",Glioma; Astrocytoma; Glioblastoma,PHASE1; PHASE2,INTERVENTIONAL,DRUG,"G207, an oncolytic virus",65,2001-12,,COMPLETED,MediGene,65.0,3,1,,0,DRUG,2001.0,1,0,0,1.0
NCT00074607,"Intrathecal Gemcitabine to Treat Neoplastic Meningitis, IT Gemcitabine",Meningitis; Neoplasms,PHASE1,INTERVENTIONAL,DRUG,Gemcitabine,10,2001-12,2005-07,TERMINATED,Baylor College of Medicine,10.0,2,1,1308.0,0,DRUG,2001.0,1,0,0,0.0
NCT00025311,"Topotecan in Treating Patients With Recurrent, Progressive, or Refractory Cancer That is Metastatic to the Lining Around the Brain",Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG,topotecan hydrochloride,,2001-05,2003-10,COMPLETED,NYU Langone Health,,1,1,883.0,0,DRUG,2001.0,0,0,0,1.0
NCT00006773,Bortezomib in Treating Patients With Recurrent Glioma,Adult Anaplastic Astrocytoma; Adult Anaplastic Oligodendroglioma; Adult Giant Cell Glioblastoma; Adult Glioblastoma; Adult Gliosarcoma; Recurrent Adult Brain Tumor,PHASE1,INTERVENTIONAL,DRUG,bortezomib,42,2001-05,2007-06,TERMINATED,National Cancer Institute (NCI),42.0,6,1,2222.0,0,DRUG,2001.0,1,0,0,0.0
NCT00223717,Treatment of Supine Hypertension in Autonomic Failure,Hypertension,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DIETARY_SUPPLEMENT; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; OTHER; DRUG; OTHER,Clonidine; Nitroglycerin transdermal; Dipyridamole/ Aspirin (Aggrenox); Desmopressin (DDAVP); Sildenafil; Nifedipine; Hydralazine; Hydrochlorothiazide; Placebo; Bosentan; Diltiazem; Eplerenone; guanfacine; L-arginine; captopril; carbidopa; losartan; metoprolol tartrate; nebivolol hydrochloride; prazosin hydrochloride; tamsulosin hydrochloride; Head-up tilt.; aliskiren; Local heat stress,152,2001-01,2017-01,COMPLETED,Vanderbilt University,152.0,1,24,5844.0,0,DRUG,2001.0,0,1,1,1.0
NCT00021229,Imatinib Mesylate With or Without Radiation Therapy in Treating Young Patients With Newly Diagnosed or Recurrent Glioma,Brain and Central Nervous System Tumors,PHASE1; PHASE2,INTERVENTIONAL,DRUG; RADIATION,imatinib mesylate; local irradiation therapy,85,2001-05,2008-08,TERMINATED,National Cancer Institute (NCI),85.0,1,2,2649.0,0,DRUG,2001.0,0,1,0,0.0
NCT00248378,Short-Term Effects of Medicinal Cannabis Therapy on Spasticity in Multiple Sclerosis,Multiple Sclerosis,PHASE1; PHASE2,INTERVENTIONAL,DRUG,Smoked Cannabis,30,2001-09,,COMPLETED,Center for Medicinal Cannabis Research,30.0,1,1,,0,DRUG,2001.0,0,0,0,1.0
NCT00029874,Minocycline in Patients With Huntington's Disease,Huntington's Disease,PHASE1; PHASE2,INTERVENTIONAL,DRUG,Minocycline,63,2001-09,,COMPLETED,FDA Office of Orphan Products Development,63.0,1,1,,0,DRUG,2001.0,0,0,0,1.0
NCT00608582,Transcranial Magnetic Stimulation to Improve Speech in Aphasia,Aphasia; Cerebrovascular Stroke,PHASE1,INTERVENTIONAL,DEVICE,"Transcranial Magnetic Stimulation, Repetitive",63,2002-07,2013-06,COMPLETED,Boston University,63.0,2,1,3988.0,0,DEVICE,2002.0,1,0,0,1.0
NCT00053118,Chemotherapy and Stem Cell Transplantation in Treating Children With Central Nervous System Cancer,Brain and Central Nervous System Tumors; Lymphoma; Neuroblastoma; Retinoblastoma,PHASE1,INTERVENTIONAL,BIOLOGICAL; DRUG; DRUG; PROCEDURE; PROCEDURE,filgrastim; carboplatin; etoposide; bone marrow ablation with stem cell support; peripheral blood stem cell transplantation,1,2002-03,2004-07,COMPLETED,Roswell Park Cancer Institute,1.0,4,5,853.0,0,BIOLOGICAL,2002.0,1,1,0,1.0
NCT00053963,FR901228 in Treating Children With Refractory or Recurrent Solid Tumors or Leukemia,"Blastic Phase Chronic Myelogenous Leukemia; Childhood Central Nervous System Germ Cell Tumor; Childhood Choroid Plexus Tumor; Childhood Chronic Myelogenous Leukemia; Childhood Craniopharyngioma; Childhood Grade I Meningioma; Childhood Grade II Meningioma; Childhood Grade III Meningioma; Childhood High-grade Cerebral Astrocytoma; Childhood Infratentorial Ependymoma; Childhood Low-grade Cerebral Astrocytoma; Childhood Spinal Cord Neoplasm; Childhood Supratentorial Ependymoma; Recurrent Childhood Acute Lymphoblastic Leukemia; Recurrent Childhood Acute Myeloid Leukemia; Recurrent Childhood Brain Stem Glioma; Recurrent Childhood Cerebellar Astrocytoma; Recurrent Childhood Cerebral Astrocytoma; Recurrent Childhood Ependymoma; Recurrent Childhood Medulloblastoma; Recurrent Childhood Supratentorial Primitive Neuroectodermal Tumor; Recurrent Childhood Visual Pathway and Hypothalamic Glioma; Refractory Chronic Lymphocytic Leukemia; Relapsing Chronic Myelogenous Leukemia; Unspecified Childhood Solid Tumor, Protocol Specific",PHASE1,INTERVENTIONAL,DRUG,romidepsin,30,2002-09,2006-02,COMPLETED,National Cancer Institute (NCI),30.0,25,1,1249.0,0,DRUG,2002.0,1,0,0,1.0
NCT00006452,Gadolinium Texaphyrin Plus Radiation Therapy in Treating Patients With Supratentorial Glioblastoma Multiforme,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; RADIATION,motexafin gadolinium; radiation therapy,6,2002-04-10,2003-05-09,COMPLETED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,6.0,1,2,394.0,0,DRUG,2002.0,0,1,0,1.0
NCT00416923,Intrathecal Rituximab in Treating Patients With Recurrent CNS Lymphoma,Brain and Central Nervous System Tumors; Lymphoma,PHASE1,INTERVENTIONAL,BIOLOGICAL,rituximab,10,2002-08,2005-11,COMPLETED,"University of California, San Francisco",10.0,2,1,1188.0,0,BIOLOGICAL,2002.0,1,0,0,1.0
NCT00702637,Study of Modafinil to Treat Fatigue in Persons With Traumatic Brain Injury,Fatigue,PHASE1,INTERVENTIONAL,DRUG,Modafinil,60,2002-10,2005-03,COMPLETED,Craig Hospital,60.0,1,1,882.0,0,DRUG,2002.0,0,0,0,1.0
NCT00407212,A Study of Three Doses of TCH346 in Patients With Early Parkinson's Disease to Evaluate Safety and Efficacy,Parkinson's Disease,PHASE1; PHASE2,INTERVENTIONAL,DRUG,"TCH346 (dibenz[b,f]oxepin-10-ylmethyl-prop-2-ynyl-amine, hydrogen maleate salt)",301,2002-01,2003-11,COMPLETED,Novartis,301.0,1,1,669.0,0,DRUG,2002.0,0,0,1,1.0
NCT00274664,Patching for Lazy Eye: Trial to Evaluate Daily Patching Amounts,Amblyopia,PHASE1,INTERVENTIONAL,DEVICE; DEVICE,6 hours occlusion by patching; 12 hours occlusion by patching,100,2002-02,,COMPLETED,"City, University of London",100.0,1,2,,0,DEVICE,2002.0,0,1,0,1.0
NCT01878578,The Effect of BIA 2-093 on the Steady-state Pharmacokinetic Profile of Phenytoin in Patients,Epilepsy,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG,Eslicarbazepine acetate; phenytoin; Placebo,4,2002-11,2003-03,TERMINATED,Bial - Portela C S.A.,4.0,1,3,120.0,0,DRUG,2002.0,0,1,0,0.0
NCT00050986,Phase I/II Evaluation of Temozolomide and ZARNESTRA (R115777) for Recurrent and Progressive Glioblastoma Multiforme,Glioblastoma Multiforme,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,Temozolomide; R115777,55,2002-12,2008-10,COMPLETED,M.D. Anderson Cancer Center,55.0,1,2,2131.0,0,DRUG,2002.0,0,1,0,1.0
NCT00045474,Brachytherapy in Treating Patients With Recurrent Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,PROCEDURE; RADIATION,adjuvant therapy; iodine I 125,,2002-10,,COMPLETED,National Cancer Institute (NCI),,1,2,,0,PROCEDURE,2002.0,0,1,0,1.0
NCT00049712,Monoclonal Antibody Therapy in Treating Patients With Refractory Advanced Solid Tumors or Lymphoma,"Lymphoma; Small Intestine Cancer; Unspecified Adult Solid Tumor, Protocol Specific",PHASE1,INTERVENTIONAL,BIOLOGICAL,etaracizumab,,2002-10,2006-02,COMPLETED,"University of Wisconsin, Madison",,3,1,1219.0,0,BIOLOGICAL,2002.0,1,0,0,1.0
NCT00031928,Mafosfamide in Treating Patients With Progressive or Refractory Meningeal Tumors,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG,mafosfamide,3000,2002-01,,COMPLETED,National Cancer Institute (NCI),3000.0,1,1,,0,DRUG,2002.0,0,0,1,1.0
NCT00040573,Safety and Tolerability Study of 131I-TM-601 to Treat Adult Patients With Recurrent Glioma.,Glioma; Brain Neoplasm,PHASE1; PHASE2,INTERVENTIONAL,DRUG,131I-TM-601,18,2002-06,,COMPLETED,TransMolecular,18.0,2,1,,0,DRUG,2002.0,1,0,0,1.0
NCT00063973,Cilengitide in Treating Children With Refractory Primary Brain Tumors,Childhood Central Nervous System Germ Cell Tumor; Childhood Choroid Plexus Tumor; Childhood Craniopharyngioma; Childhood Ependymoblastoma; Childhood Grade I Meningioma; Childhood Grade II Meningioma; Childhood Grade III Meningioma; Childhood High-grade Cerebellar Astrocytoma; Childhood High-grade Cerebral Astrocytoma; Childhood Infratentorial Ependymoma; Childhood Low-grade Cerebellar Astrocytoma; Childhood Low-grade Cerebral Astrocytoma; Childhood Medulloepithelioma; Childhood Mixed Glioma; Childhood Oligodendroglioma; Childhood Supratentorial Ependymoma; Recurrent Childhood Brain Stem Glioma; Recurrent Childhood Brain Tumor; Recurrent Childhood Cerebellar Astrocytoma; Recurrent Childhood Cerebral Astrocytoma; Recurrent Childhood Ependymoma; Recurrent Childhood Medulloblastoma; Recurrent Childhood Pineoblastoma; Recurrent Childhood Subependymal Giant Cell Astrocytoma; Recurrent Childhood Supratentorial Primitive Neuroectodermal Tumor; Recurrent Childhood Visual Pathway and Hypothalamic Glioma,PHASE1,INTERVENTIONAL,DRUG; OTHER,cilengitide; laboratory biomarker analysis,24,2003-07,2008-03,COMPLETED,National Cancer Institute (NCI),24.0,26,2,1705.0,0,DRUG,2003.0,1,1,0,1.0
NCT00638248,Dose Escalation of Desmoteplase in Acute Ischemic Stroke (DEDAS),Stroke,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG; DRUG,Desmoteplase; Desmoteplase; Placebo,38,2003-03,2004-10,COMPLETED,PAION Deutschland GmbH,38.0,1,3,580.0,1,DRUG,2003.0,0,1,0,1.0
NCT00069069,E-Selectin Nasal Instillation to Prevent Secondary Stroke,"Ischemic Attack, Transient; Transient",PHASE1,INTERVENTIONAL,DRUG,Intransal instillation of E-selectin,0,2003-10-01,2018-05-09,WITHDRAWN,National Institute of Neurological Disorders and Stroke (NINDS),0.0,2,1,5334.0,0,DRUG,2003.0,1,0,0,0.0
NCT00053183,Surgery Followed by Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,PROCEDURE; RADIATION; RADIATION,conventional surgery; brachytherapy; radiation therapy,,2003-10,,COMPLETED,National Cancer Institute (NCI),,1,3,,0,PROCEDURE,2003.0,0,1,0,1.0
NCT00074243,CC-8490 in Treating Patients With Recurrent or Refractory High-Grade Gliomas,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG,CC-8490,,2003-12,,COMPLETED,National Cancer Institute (NCI),,1,1,,0,DRUG,2003.0,0,0,0,1.0
NCT00374075,Study of Safety and Dosing Effect on SMN Levels of Valproic Acid (VPA) in Patients With Spinal Muscular Atrophy,Spinal Muscular Atrophy,PHASE1,INTERVENTIONAL,DRUG,Valproic Acid,42,2003-09,,COMPLETED,University of Utah,42.0,1,1,,0,DRUG,2003.0,0,0,0,1.0
NCT00068055,IVIG - West Nile Encephalitis: Safety and Efficacy,West Nile Virus,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG; DRUG,Omr-lgG-am; Polygam® S/D; Placebo,62,2003-09,2006-12,COMPLETED,National Institute of Allergy and Infectious Diseases (NIAID),62.0,1,3,1187.0,0,DRUG,2003.0,0,1,0,1.0
NCT00045721,Carmustine Implants and O(6)-Benzylguanine in Treating Children With Recurrent Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; DRUG; PROCEDURE; PROCEDURE; PROCEDURE,O6-benzylguanine; polifeprosan 20 with carmustine implant; adjuvant therapy; conventional surgery; neoadjuvant therapy,3,2003-03,2004-07,TERMINATED,Pediatric Brain Tumor Consortium,3.0,1,5,488.0,0,DRUG,2003.0,0,1,0,0.0
NCT00379392,Mental Imagery to Reduce Motor Deficits in Stroke,Stroke,PHASE1,INTERVENTIONAL,BEHAVIORAL; PROCEDURE,Mental Imagery only; Mental Imagery and Constraint induced therapy,20,2003-01,2008-07,COMPLETED,Emory University,20.0,1,2,2008.0,0,BEHAVIORAL,2003.0,0,1,0,1.0
NCT00090402,Fish Oil and Alpha Lipoic Acid in Treating Alzheimer's Disease,Alzheimer's Disease; Oxidative Stress; Dementia; Hyperlipidemia; Inflammation,PHASE1; PHASE2,INTERVENTIONAL,DIETARY_SUPPLEMENT; DIETARY_SUPPLEMENT; OTHER; OTHER,Fish Oil; Lipoic Acid; Fish Oil Placebo; Lipoic Acid Placebo,39,2004-04,2006-01-03,COMPLETED,Oregon Health and Science University,39.0,5,4,642.0,0,DIETARY_SUPPLEMENT,2004.0,1,1,0,1.0
NCT00238030,Thyroxine Replacement in Organ Donors,Brain Death,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,L-thryoxine; iv thryoxine,34,2004-12,2009-05,COMPLETED,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,34.0,1,2,1612.0,0,DRUG,2004.0,0,1,0,1.0
NCT00200109,Occipital Nerve Stimulation for the Treatment of Chronic Migraine Headache.,Chronic Migraine Headache,PHASE1,INTERVENTIONAL,DEVICE,Occipital Nerve Stimulation,110,2004-05,2008-06,COMPLETED,MedtronicNeuro,110.0,1,1,1492.0,0,DEVICE,2004.0,0,0,1,1.0
NCT00087009,"Beta-Glucan and Rituximab in Treating Young Patients With Relapsed or Progressive Lymphoma or Leukemia, or Lymphoproliferative Disorder Related to Donor Stem Cell Transplantation",Leukemia; Lymphoma; Lymphoproliferative Disorder,PHASE1,INTERVENTIONAL,BIOLOGICAL; BIOLOGICAL,beta-glucan; rituximab,3,2004-05,2008-08,TERMINATED,Memorial Sloan Kettering Cancer Center,3.0,3,2,1553.0,0,BIOLOGICAL,2004.0,1,1,0,0.0
