NCTId,BriefTitle,Condition,Phase,StudyType,InterventionType,InterventionName,Enrollment,StartDate,PrimaryCompletionDate,OverallStatus,LeadSponsorName,planned_enrollment,num_conditions,num_interventions,planned_duration_days,sponsor_type_industry,intervention_type,start_year,has_multiple_conditions,has_multiple_interventions,is_large_trial,label
NCT00982878,The Maraviroc Central Nervous System (CNS) Study,HIV Infections,PHASE1,INTERVENTIONAL,DRUG,Maraviroc,13,2009-09,2010-07,COMPLETED,Imperial College London,13.0,1,1,303.0,0,DRUG,2009.0,0,0,0,1.0
NCT01238315,Safety and Efficacy Study of HuCNS-SC in Subjects With Neuronal Ceroid Lipofuscinosis,Neuronal Ceroid Lipofuscinosis,PHASE1,INTERVENTIONAL,BIOLOGICAL,HuCNS-SC,0,2010-11,2011-04,WITHDRAWN,"StemCells, Inc.",0.0,1,1,151.0,1,BIOLOGICAL,2010.0,0,0,0,0.0
NCT03116308,Effect of Food on Opicapone,Parkinson Disease,PHASE1,INTERVENTIONAL,DRUG,Opicapone (OPC),28,2014-11-21,2015-01-28,COMPLETED,Bial - Portela C S.A.,28.0,1,1,68.0,0,DRUG,2014.0,0,0,0,1.0
NCT02968433,The Stanford Parkinson's Disease Plasma Study,Parkinson Disease(PD),PHASE1,INTERVENTIONAL,DRUG,Infusions of young plasma,16,2016-11,2019-12,COMPLETED,Stanford University,16.0,1,1,1125.0,0,DRUG,2016.0,0,0,0,1.0
NCT04051047,Gemcitabine in Newly-Diagnosed Diffuse Midline Glioma,Glial Tumor of Brain; Diffuse Intrinsic Pontine Glioma; Glioma,EARLY_PHASE1,INTERVENTIONAL,DRUG; PROCEDURE,Gemcitabine; Tumor biopsy and blood draw,0,2019-11-30,2021-12,WITHDRAWN,University of Michigan Rogel Cancer Center,0.0,3,2,732.0,0,DRUG,2019.0,1,1,0,0.0
NCT02283840,Single Dose Crossover Comparative Bioavailability Study of Eslicarbazepine Acetate Versus To-be-marketed Formulation,Epilepsy,PHASE1,INTERVENTIONAL,DRUG,BIA 2-093,60,2007-05,2007-06,COMPLETED,Bial - Portela C S.A.,60.0,1,1,31.0,0,DRUG,2007.0,0,0,0,1.0
NCT00726726,Drug Interaction Study With a Potential Alzheimer's Disease Compound,Alzheimer Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG,"Interacting drugs - Cooperstown Cocktail (midazolam, warfarin, (+ vitamin K), caffeine, omeprazole and dextromethorphan); BMS-708163; BMS-708163 + Cooperstown Cocktail",22,2008-08,2008-10,COMPLETED,Bristol-Myers Squibb,22.0,1,3,61.0,0,DRUG,2008.0,0,1,0,1.0
NCT00248378,Short-Term Effects of Medicinal Cannabis Therapy on Spasticity in Multiple Sclerosis,Multiple Sclerosis,PHASE1; PHASE2,INTERVENTIONAL,DRUG,Smoked Cannabis,30,2001-09,,COMPLETED,Center for Medicinal Cannabis Research,30.0,1,1,,0,DRUG,2001.0,0,0,0,1.0
NCT03374917,A Study in Subjects With Parkinson's Disease to Evaluate the Safety and Tolerability of Titration and Continuous Subcutaneous Infusion of ABBV-951 in an Outpatient Environment,Parkinson's Disease (PD),PHASE1,INTERVENTIONAL,DRUG,ABBV-951,20,2018-04-18,2019-03-04,COMPLETED,AbbVie,20.0,1,1,320.0,0,DRUG,2018.0,0,0,0,1.0
NCT00223717,Treatment of Supine Hypertension in Autonomic Failure,Hypertension,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DIETARY_SUPPLEMENT; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; OTHER; DRUG; OTHER,Clonidine; Nitroglycerin transdermal; Dipyridamole/ Aspirin (Aggrenox); Desmopressin (DDAVP); Sildenafil; Nifedipine; Hydralazine; Hydrochlorothiazide; Placebo; Bosentan; Diltiazem; Eplerenone; guanfacine; L-arginine; captopril; carbidopa; losartan; metoprolol tartrate; nebivolol hydrochloride; prazosin hydrochloride; tamsulosin hydrochloride; Head-up tilt.; aliskiren; Local heat stress,152,2001-01,2017-01,COMPLETED,Vanderbilt University,152.0,1,24,5844.0,0,DRUG,2001.0,0,1,1,1.0
NCT03587649,Evaluation of [18F]MNI-1126 as an Imaging Marker for Synaptic Density Loss,Alzheimer Disease; Parkinson Disease; Healthy Volunteers,PHASE1,INTERVENTIONAL,DRUG,[18F]MNI-1126,12,2018-05-07,2020-02-26,COMPLETED,Invicro,12.0,3,1,660.0,0,DRUG,2018.0,1,0,0,1.0
NCT05225389,"Study to Assess the Absorption, Metabolism, Excretion, and Mass Balance of CT1812 in Healthy Adult Male Subjects",Alzheimer Disease,PHASE1,INTERVENTIONAL,DRUG,300 mg [C14] CT1812,8,2021-12-31,2022-01-17,COMPLETED,Cognition Therapeutics,8.0,1,1,17.0,1,DRUG,2021.0,0,0,0,1.0
NCT01467726,"Safety, Pharmacokinetics and Pharmacodynamics of Velusetrag in Healthy Elderly Subjects",Alzheimer's Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG,Velusetrag; Velusetrag; Placebo,40,2011-11,2012-01,COMPLETED,Alfasigma S.p.A.,40.0,1,3,61.0,0,DRUG,2011.0,0,1,0,1.0
NCT04008589,Non-invasive Current Stimulation for Restoration of Vision,Stroke; Electrical Stimulation,PHASE1; PHASE2,INTERVENTIONAL,DEVICE; DEVICE,repetitive transorbital AC Stimulation; combination of transcranial direct current stimulaton and rtACS,45,2014-01-01,2016-03-31,COMPLETED,University of Magdeburg,45.0,2,2,820.0,0,DEVICE,2014.0,1,1,0,1.0
NCT01605357,Hypernatremia for the Prevention and Treatment of Cerebral Edema in Traumatic Brain Injury,Traumatic Brain Injury; Subdural Hematoma; Cerebral Contusion; Head Injury; Cerebral Edema,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,"Induced, sustained hypernatremia using hypertonic saline; Standard of care (hypertonic saline and mannitol; serum sodium)",0,2012-07,2013-07,WITHDRAWN,Massachusetts General Hospital,0.0,5,3,365.0,0,DRUG,2012.0,1,1,0,0.0
NCT04241965,"A Single-blind, Placebo-controlled, Outpatient Trial to Assess the Effects of Single Oral Tablet Dose of OPC-214870",Epilepsy,PHASE1,INTERVENTIONAL,DRUG; OTHER,OPC-214870; Placebo,16,2020-02-18,2021-10-11,COMPLETED,"Otsuka Pharmaceutical Development & Commercialization, Inc.",16.0,1,2,601.0,1,DRUG,2020.0,0,1,0,1.0
NCT02892084,Augmentation of Locomotor Adaptation Post-Stroke,Stroke,PHASE1,INTERVENTIONAL,DEVICE; DEVICE,tDCS; Sham tDCS,29,2013-04,2018-03-31,COMPLETED,Medical University of South Carolina,29.0,1,2,1825.0,0,DEVICE,2013.0,0,1,0,1.0
NCT02220738,"Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of ABT-957 in Subjects With Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors",Alzheimer's Disease,PHASE1,INTERVENTIONAL,DRUG; OTHER,ABT-957; Placebo for ABT-957,19,2014-09,2016-03,TERMINATED,AbbVie,19.0,1,2,547.0,0,DRUG,2014.0,0,1,0,0.0
NCT02332655,Cannabidiol Expanded Access Study in Medically Refractory Sturge-Weber Syndrome,Sturge-Weber Syndrome,PHASE1; PHASE2,INTERVENTIONAL,DRUG,Cannabidiol,5,2014-12,2019-04,COMPLETED,"Anne Comi, MD",5.0,1,1,1582.0,0,DRUG,2014.0,0,0,0,1.0
NCT00734526,Phase I Portion of Phase I/II Sorafenib With Radiation and Temozolomide in Newly Diagnosed Glioblastoma or Gliosarcoma,Glioblastoma; Gliosarcoma,PHASE1,INTERVENTIONAL,DRUG; RADIATION; DRUG,Temozolomide; Radiation; Sorafenib,18,2008-12-18,2012-12,TERMINATED,M.D. Anderson Cancer Center,18.0,2,3,1444.0,0,DRUG,2008.0,1,1,0,0.0
NCT00335764,"Sorafenib Combined With Erlotinib, Tipifarnib, or Temsirolimus in Treating Patients With Recurrent Glioblastoma Multiforme or Gliosarcoma",Adult Giant Cell Glioblastoma; Adult Glioblastoma; Adult Gliosarcoma; Recurrent Adult Brain Tumor,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG; DRUG; DRUG,sorafenib tosylate; erlotinib hydrochloride; tipifarnib; temsirolimus,92,2006-04,2010-02,COMPLETED,National Cancer Institute (NCI),92.0,4,4,1402.0,0,DRUG,2006.0,1,1,0,1.0
NCT04635709,Effect of Behavioral Therapy Versus Interferential Current on Bladder Dysfunction in Patients With Multiple Sclerosis,Bladder Dysfunction on Patients With Multiple Sclerosis,PHASE1,INTERVENTIONAL,DEVICE,biofeedback training and interferential therapy,50,2019-02-15,2020-04-01,COMPLETED,Taibah University,50.0,1,1,411.0,0,DEVICE,2019.0,0,0,0,1.0
NCT03481348,Pharyngeal Electrical Stimulation in Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis,PHASE1; PHASE2,INTERVENTIONAL,DEVICE,Pharyngeal Electrical Stimulation,20,2018-02-01,2020-07-21,COMPLETED,University of Ulm,20.0,1,1,901.0,0,DEVICE,2018.0,0,0,0,1.0
NCT06463184,Study to Assess Xevinapant in Preoperative Subjects With Recurrent High-Grade Glioma (rHGG),Recurrent High-grade Glioma,PHASE1,INTERVENTIONAL,DRUG,Xevinapant,0,2024-07-22,2027-06,WITHDRAWN,H. Lee Moffitt Cancer Center and Research Institute,0.0,1,1,1044.0,0,DRUG,2024.0,0,0,0,0.0
NCT04749433,Study of [11C]CPPC to Assess the Safety and Tolerability in Patients With ALS,Amyotrophic Lateral Sclerosis,PHASE1,INTERVENTIONAL,DRUG,[11C]CPPC Injection,4,2021-09-01,2023-03-30,TERMINATED,Johns Hopkins University,4.0,1,1,575.0,0,DRUG,2021.0,0,0,0,0.0
NCT03684811,A Study of FT-2102 in Patients With Advanced Solid Tumors and Gliomas With an IDH1 Mutation,"Cohort 1a and 1b: Glioma (Advanced Gliomas and Glioblastoma Multiforme); Cohort 2a and 2b: Hepatobiliary Tumors (Hepatocellular Carcinoma, Bile Duct Carcinoma, Intrahepatic Cholangiocarcinoma, Other Hepatobiliary Carcinomas); Cohort 3a and 3b: Chondrosarcoma; Cohort 4a and 4b: Intrahepatic Cholangiocarcinoma; Cohort 5a: Other Non-Central Nervous System Solid Tumors With IDH1 Mutations",PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG; BIOLOGICAL; DRUG,FT-2102; Azacitidine; Nivolumab; Gemcitabine and Cisplatin,93,2018-11-01,2021-05-24,COMPLETED,"Forma Therapeutics, Inc.",93.0,5,4,935.0,1,DRUG,2018.0,1,1,0,1.0
NCT05462132,"Safety, Tolerability and Pharmacodynamics of SYNB1353 in Healthy Adult Volunteers",Homocystinuria,PHASE1,INTERVENTIONAL,DRUG,SYNB1353,31,2022-07-07,2022-11-27,COMPLETED,Synlogic,31.0,1,1,143.0,0,DRUG,2022.0,0,0,0,1.0
NCT02197663,Clinical Evaluation of Acupuncture on the Complications of Cerebral Vascular Accident,Stroke,PHASE1,INTERVENTIONAL,PROCEDURE,acupuncture(44mm in length and 32-gauge),60,2013-04,2015-07,TERMINATED,China Medical University Hospital,60.0,1,1,821.0,0,PROCEDURE,2013.0,0,0,0,0.0
NCT02639221,"A Phase I, Double Blind, Placebo Controlled, First in Human, Single and Multiple Ascending Oral Dose, Safety, Tolerability and Pharmacokinetic Study in Healthy Male and Female Subjects",Parkinson's Disease,PHASE1,INTERVENTIONAL,DRUG,PXT002331,64,2016-01,2016-08,COMPLETED,Prexton Therapeutics,64.0,1,1,213.0,1,DRUG,2016.0,0,0,0,1.0
NCT04103333,Angelman Syndrome (AS) Biomarker Study,Angelman Syndrome; Chromosome 15q Duplication (dup15q) Syndrome,EARLY_PHASE1,INTERVENTIONAL,PROCEDURE; PROCEDURE,Lumbar Puncture; Blood Collection,20,2019-12-18,2022-01-02,COMPLETED,Biogen,20.0,2,2,746.0,0,PROCEDURE,2019.0,1,1,0,1.0
NCT00005637,Combination Chemotherapy Following Radiation Therapy in Treating Patients With Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; DRUG,carmustine; temozolomide,,1999-12,2003-06,COMPLETED,Memorial Sloan Kettering Cancer Center,,1,2,1278.0,0,DRUG,1999.0,0,1,0,1.0
NCT02601144,Variable Frequency Stimulation of Subthalamic Nucleus for Freezing of Gait in Parkinson's Disease,Parkinson's Disease,PHASE1,INTERVENTIONAL,DEVICE,Deep Brain Stimulation,28,2015-10,2016-12,COMPLETED,"Beijing Pins Medical Co., Ltd",28.0,1,1,427.0,1,DEVICE,2015.0,0,0,0,1.0
NCT01369121,Tolerability Study of Xerecept® in Pediatric Patients,Brain Edema; Brain Tumor,PHASE1; PHASE2,INTERVENTIONAL,DRUG,XERECEPT,15,2010-06,2012-10,TERMINATED,Celtic Pharma Development Services,15.0,2,1,853.0,1,DRUG,2010.0,1,0,0,0.0
NCT00045721,Carmustine Implants and O(6)-Benzylguanine in Treating Children With Recurrent Malignant Glioma,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,DRUG; DRUG; PROCEDURE; PROCEDURE; PROCEDURE,O6-benzylguanine; polifeprosan 20 with carmustine implant; adjuvant therapy; conventional surgery; neoadjuvant therapy,3,2003-03,2004-07,TERMINATED,Pediatric Brain Tumor Consortium,3.0,1,5,488.0,0,DRUG,2003.0,0,1,0,0.0
NCT05783830,Study Evaluating the Pharmacokinetics of a Single Microdose of ACD856,Cognition Disorder; Alzheimer Disease,EARLY_PHASE1,INTERVENTIONAL,DRUG,ACD856,6,2020-01-13,2020-04-18,COMPLETED,AlzeCure Pharma,6.0,2,1,96.0,1,DRUG,2020.0,1,0,0,1.0
NCT01585207,Proof-of-Concept Safety Study of CPP-109 (Vigabatrin) for Treatment Refractory Tourette's Disorder,Tourette's Disorder,PHASE1; PHASE2,INTERVENTIONAL,DRUG,vigabatrin,4,2012-07,2015-03,COMPLETED,Barbara J. Coffey,4.0,1,1,973.0,0,DRUG,2012.0,0,0,0,1.0
NCT01988311,"Pilot Study: Effects of Psilocybin on Behavior, Psychology and Brain Function in Long-term Meditators",Psilocybin; Hallucinogens; Pharmacologic Actions; Central Nervous System Agents; Therapeutic Uses; Psychotropic Drugs,PHASE1,INTERVENTIONAL,DRUG,psilocybin,10,2013-05,2014-01,COMPLETED,Johns Hopkins University,10.0,6,1,245.0,0,DRUG,2013.0,1,0,0,1.0
NCT05246111,Berzosertib Human Mass Balance Study (DDRiver Solid Tumors 208),Advanced Solid Tumor,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG,[14C]Berzosertib; Berzosertib; Topotecan,6,2022-02-15,2023-06-28,COMPLETED,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",6.0,1,3,498.0,0,DRUG,2022.0,0,1,0,1.0
NCT00326664,"AZD2171 in Treating Young Patients With Recurrent, Progressive, or Refractory Primary CNS Tumors",Childhood Atypical Teratoid/Rhabdoid Tumor; Childhood Central Nervous System Germ Cell Tumor; Childhood Cerebral Anaplastic Astrocytoma; Childhood Cerebral Astrocytoma; Childhood Grade I Meningioma; Childhood Grade II Meningioma; Childhood Grade III Meningioma; Childhood Infratentorial Ependymoma; Childhood Oligodendroglioma; Childhood Spinal Cord Neoplasm; Childhood Supratentorial Ependymoma; Recurrent Childhood Brain Neoplasm; Recurrent Childhood Brain Stem Glioma; Recurrent Childhood Cerebellar Astrocytoma; Recurrent Childhood Cerebral Astrocytoma; Recurrent Childhood Ependymoma; Recurrent Childhood Medulloblastoma; Recurrent Childhood Pineoblastoma; Recurrent Childhood Subependymal Giant Cell Astrocytoma; Recurrent Childhood Supratentorial Primitive Neuroectodermal Tumor; Recurrent Childhood Visual Pathway Glioma,PHASE1,INTERVENTIONAL,DRUG,Cediranib Maleate,55,2006-03,2015-07,COMPLETED,National Cancer Institute (NCI),55.0,21,1,3409.0,0,DRUG,2006.0,1,0,0,1.0
NCT04010305,Sub-Lingual Dexmedetomidine in Agitation Associated With Schizophrenia,Agitation; Schizophrenia,PHASE1,INTERVENTIONAL,DRUG; DRUG,Sublingual film containing BXCL501 (Dexmedetomidine); Placebo film,135,2019-05-22,2019-07-31,COMPLETED,BioXcel Therapeutics Inc,135.0,2,2,70.0,1,DRUG,2019.0,1,1,1,1.0
NCT03988907,A Drug-drug Interaction Study With Risdiplam Multiple Dose and Midazolam in Healthy Participants,Spinal Muscular Atrophy,PHASE1,INTERVENTIONAL,DRUG; DRUG,Risdiplam; Midazolam,35,2019-06-18,2019-09-29,COMPLETED,Hoffmann-La Roche,35.0,1,2,103.0,0,DRUG,2019.0,0,1,0,1.0
NCT02519036,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 443139 in Participants With Early Manifest Huntington's Disease",Huntington's Disease,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG; DRUG; DRUG; DRUG; OTHER,ISIS 443139 10 mg; ISIS 443139 30 mg; ISIS 443139 60 mg; ISIS 443139 90 mg; ISIS 443139 120 mg; Placebo,46,2015-08-06,2017-11-08,COMPLETED,"Ionis Pharmaceuticals, Inc.",46.0,1,6,825.0,1,DRUG,2015.0,0,1,0,1.0
NCT01454115,"Study to Evaluate the Safety, Pharmacokinetics and Tolerability of BMS-708163",Alzheimer's Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG,BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); BMS-708163 (Gamma-Secretase Inhibitor); Placebo matching BMS-708163; Placebo matching BMS-708163,116,2007-06,2009-03,COMPLETED,Bristol-Myers Squibb,116.0,1,12,639.0,0,DRUG,2007.0,0,1,1,1.0
NCT02149017,Phase 1 and Phase 2 Clinical Trials of SNUBH-NM-333(18F),Alzheimer Disease,PHASE1; PHASE2,INTERVENTIONAL,RADIATION,SNUBH-NM-333(18F),30,2010-12,2011-05,TERMINATED,Seoul National University Hospital,30.0,1,1,151.0,0,RADIATION,2010.0,0,0,0,0.0
NCT02768389,Feasibility Trial of the Modified Atkins Diet and Bevacizumab for Recurrent Glioblastoma,Glioblastoma; Brain Tumor,EARLY_PHASE1,INTERVENTIONAL,DRUG; BEHAVIORAL,Bevacizumab; Modified Atkins Diet,18,2016-09-06,2018-11,COMPLETED,Case Comprehensive Cancer Center,18.0,2,2,786.0,0,DRUG,2016.0,1,1,0,1.0
NCT02595489,A Pilot Study of Vitamin D in Boys With X-linked Adrenoleukodystrophy,X-linked Adrenoleukodystrophy,PHASE1,INTERVENTIONAL,DIETARY_SUPPLEMENT,vitamin D3,21,2016-11-21,2020-06-30,COMPLETED,Stanford University,21.0,1,1,1317.0,0,DIETARY_SUPPLEMENT,2016.0,0,0,0,1.0
NCT04316104,CuidaTXT: a Text Message Dementia-caregiver Intervention for Latinos,Caregiver Burnout,PHASE1,INTERVENTIONAL,BEHAVIORAL,CuidaTXT,24,2021-07-01,2022-03-10,COMPLETED,University of Kansas Medical Center,24.0,1,1,252.0,0,BEHAVIORAL,2021.0,0,0,0,1.0
NCT04050852,Pulmonary Function Test Changes and Respiratory Muscle Strength Trends in Spinal Muscular Atrophy Patients Receiving Nusinersen Treatments,Spinal Muscular Atrophy,EARLY_PHASE1,INTERVENTIONAL,DRUG,Nusinersen Treatments,0,2019-07-17,2021-04-01,WITHDRAWN,NYU Langone Health,0.0,1,1,624.0,0,DRUG,2019.0,0,0,0,0.0
NCT02290886,A Multicenter Phase I/II Clinical Trial to Evaluate Safety of Mesenchymal Stem Cell in Patients With Amyotrophic Sclerosis Lateral,Amyotrophic Lateral Sclerosis,PHASE1; PHASE2,INTERVENTIONAL,OTHER; DRUG; DRUG; DRUG,Intravenous administration of placebo; Intravenous administration of 1 million of MSC; Intravenous administration of 2 million of MSC; Intravenous administration of 4 million of MSC,52,2014-07,2022-03-02,COMPLETED,Andalusian Initiative for Advanced Therapies - Fundación Pública Andaluza Progreso y Salud,52.0,1,4,2801.0,0,OTHER,2014.0,0,1,0,1.0
NCT01044966,A Study of Intraventricular Liposomal Encapsulated Ara-C (DepoCyt) in Patients With Recurrent Glioblastoma,Glioblastoma Multiforme; Glioma; Astrocytoma; Brain Tumor,PHASE1; PHASE2,INTERVENTIONAL,DRUG,ITV DepoCyt + Temozolomide,12,2009-09,2013-08,TERMINATED,Medical University of South Carolina,12.0,4,1,1430.0,0,DRUG,2009.0,1,0,0,0.0
NCT02045056,Modulation of Micro-RNA Pathways by Gemfibrozil in Predementia Alzheimer Disease,Preclinical Alzheimer's Disease,EARLY_PHASE1,INTERVENTIONAL,DRUG; DRUG,Gemfibrozil; Placebo,72,2014-05,2018-06-30,COMPLETED,"Gregory Jicha, 323-5550",72.0,1,2,1521.0,0,DRUG,2014.0,0,1,0,1.0
NCT03334786,Study to Evaluate Safety & Efficacy of FLX-787-ODT to Treat Fasciculations in Tongue and Appendicular Muscle in Adult Subjects With ALS,Amyotrophic Lateral Sclerosis; Fasciculation,PHASE1; PHASE2,INTERVENTIONAL,DRUG,FLX-787-ODT,3,2018-04-05,2018-08-23,TERMINATED,"Flex Pharma, Inc.",3.0,2,1,140.0,1,DRUG,2018.0,1,0,0,0.0
NCT00986895,"A Study of Glyceryl Tri-(4-phenylbutyrate) Administered Orally as a Single Dose, and Twice Daily for Seven Consecutive Days to Subjects With Hepatic Impairment With Cirrhosis and to a Control Group",Hepatic Encephalopathy; Urea Cycle Disorders,PHASE1,INTERVENTIONAL,DRUG,HPN-100,32,2006-09,,COMPLETED,Amgen,32.0,2,1,,0,DRUG,2006.0,1,0,0,1.0
NCT02442557,Safety and Dose-finding Study of DC-TAB in Healthy Subjects,Multiple Sclerosis,PHASE1,INTERVENTIONAL,BIOLOGICAL; OTHER,recombinant human alpha B-crystallin; placebo comparator,76,2009-12,2010-10,COMPLETED,Delta Crystallon BV,76.0,1,2,304.0,0,BIOLOGICAL,2009.0,0,1,0,1.0
NCT01039857,Does an Integrative Neuro-psychotherapy Program Foster the Adjustment in Depressed Stroke Patients? A Randomized Controlled Study.,Adjustment Disorders; Non-progressive Brain Injury,PHASE1,INTERVENTIONAL,BEHAVIORAL; BEHAVIORAL,"Neuropsychological Therapy, cognitive behavioral therapy, solution focused therapy; Integrative Neuro-Psychotherapy",25,2010-01,2012-08,TERMINATED,University of Bern,25.0,2,2,943.0,0,BEHAVIORAL,2010.0,1,1,0,0.0
NCT02323334,A Study of LY3202626 in Healthy Participants and Participants With Alzheimer's Disease,Healthy Volunteers; Alzheimer Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG,"LY3202626; Placebo (Part A, B, C); Itraconazole",94,2014-12,2016-02,COMPLETED,Eli Lilly and Company,94.0,2,3,427.0,0,DRUG,2014.0,1,1,0,1.0
NCT05070351,Deprescribing Proton Pump Inhibitors to Reduce Post-TIPS Hepatic Encephalopathy,Hepatic Encephalopathy,PHASE1; PHASE2,INTERVENTIONAL,DRUG,PPI deprescribing,33,2022-01-03,2025-06-02,COMPLETED,Duke University,33.0,1,1,1246.0,0,DRUG,2022.0,0,0,0,1.0
